signal,weight,n_with_flag,baseline_wr_4h,wr_with_4h,lift_pp_4h,oos_confirmed_4h,baseline_wr_24h,wr_with_24h,lift_pp_24h,oos_confirmed_24h
choch_bull_1h,5.0,52,0.4815,0.5385,5.69,True,0.4702,0.5493,7.91,True
oi_falling_5,5.0,305,0.4815,0.5246,4.31,True,0.4702,0.4769,0.67,True
rsi_lt40,3.0,214,0.4815,0.528,4.65,True,0.4702,0.5449,7.47,True
funding_neg,2.0,610,0.4815,0.5033,2.17,True,0.4702,0.4675,-0.27,True
oi_rising_5,-8.0,479,0.4815,0.4196,-6.19,True,0.4702,0.4623,-0.79,True
cvd_kline_bull,-3.0,830,0.4815,0.4554,-2.61,True,0.4702,0.4872,1.7,True
ema_bull_1h,-2.0,764,0.4815,0.4581,-2.34,True,0.4702,0.4911,2.09,True
ema_bull_4h,-1.5,1029,0.4815,0.4704,-1.12,True,0.4702,0.4631,-0.71,True
mtf_bull_ge3,-1.0,1262,0.4815,0.4723,-0.93,True,0.4702,0.4644,-0.58,True
mtf_bull_ge4,-10.0,1155,0.4815,0.4615,-2.01,True,0.4702,0.4659,-0.43,True
oi_rising_10,-20.0,327,0.4815,0.3884,-9.32,True,0.4702,0.4476,-2.26,True
funding_extreme_neg,-15.0,219,0.4815,0.411,-7.06,True,0.4702,0.3568,-11.34,True
funding_extreme_pos,-20.0,34,0.4815,0.2647,-21.68,True,0.4702,0.5,2.98,True
