setup,horizon,n_decisive,baseline_wr,v1_pos_n,v1_pos_wr,v1_neg_n,v1_neg_wr,lift,regression
bos_fvg,4h,413,0.5085,9,0.5556,404,0.5074,0.0926,ok
bos_fvg,24h,548,0.5055,11,0.3636,537,0.5084,-0.2806,YES
breakout,4h,454,0.4119,50,0.5,404,0.401,0.2139,ok
breakout,24h,549,0.4699,73,0.4247,476,0.4769,-0.0964,YES
range_sweep,4h,4,0.25,1,0.0,3,0.3333,-1.0,YES
range_sweep,24h,7,0.4286,1,0.0,6,0.5,-1.0,YES
short_dist,4h,55,0.4909,5,0.8,50,0.46,0.6296,ok
short_dist,24h,100,0.32,7,0.4286,93,0.3118,0.3393,ok
squeeze,4h,441,0.5465,91,0.6374,350,0.5229,0.1663,ok
squeeze,24h,701,0.475,179,0.5251,522,0.4579,0.1055,ok
swing,4h,68,0.3676,0,,68,0.3676,,ok
swing,24h,126,0.4127,1,0.0,125,0.416,-1.0,YES
