dump_id,date,symbol,pct_chg,primary_cause,secondary_cause,all_catalysts,confidence,notes
0,2024-06-17 01:00:00+00:00,1000LUNCUSDT,20.12,unknown,none,unknown,NONE,fg=71(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
1,2024-06-21 14:00:00+00:00,1000LUNCUSDT,20.55,unknown,none,unknown,NONE,fg=62(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
2,2024-07-04 05:00:00+00:00,1000LUNCUSDT,19.14,unknown,none,unknown,NONE,fg=47(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
3,2024-08-04 06:00:00+00:00,1000LUNCUSDT,19.5,unknown,none,unknown,NONE,fg=36(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
4,2024-12-08 22:00:00+00:00,1000LUNCUSDT,22.26,unknown,none,unknown,NONE,fg=77(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
5,2024-12-19 11:00:00+00:00,1000LUNCUSDT,19.7,unknown,none,unknown,NONE,fg=78(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
6,2025-01-19 01:00:00+00:00,1000LUNCUSDT,16.7,unknown,none,unknown,NONE,fg=77(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
7,2025-02-02 05:00:00+00:00,1000LUNCUSDT,28.7,unknown,none,unknown,NONE,fg=64(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
8,2025-10-10 05:00:00+00:00,1000LUNCUSDT,38.99,unknown,none,unknown,NONE,fg=67(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
9,2025-10-16 07:00:00+00:00,1000LUNCUSDT,15.97,unknown,none,unknown,NONE,fg=31(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
10,2025-12-05 20:00:00+00:00,1000LUNCUSDT,20.17,unknown,none,unknown,NONE,fg=27(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
11,2025-12-06 17:00:00+00:00,1000LUNCUSDT,35.25,macro_event,none,macro_event,LOW,fg=26(Extreme Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
12,2025-12-11 07:00:00+00:00,1000LUNCUSDT,30.88,unknown,none,unknown,NONE,fg=28(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
13,2026-01-30 22:00:00+00:00,1000LUNCUSDT,15.23,macro_event,stablecoin_outflow,macro_event|stablecoin_outflow,LOW,fg=21(Extreme Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
14,2026-05-06 00:00:00+00:00,1000LUNCUSDT,23.44,unknown,none,unknown,NONE,fg=45(Fear); token_unlock:no_data
15,2025-02-03 00:00:00+00:00,1000LUNCUSDT,12.27,btc_cascade,none,btc_cascade,HIGH,fg=64(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
16,2025-10-10 20:00:00+00:00,1000LUNCUSDT,28.22,btc_cascade,none,btc_cascade,HIGH,fg=67(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
17,2025-12-06 18:00:00+00:00,1000LUNCUSDT,14.26,macro_event,none,macro_event,LOW,fg=26(Extreme Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
18,2024-07-04 10:00:00+00:00,1000PEPEUSDT,20.19,unknown,none,unknown,NONE,fg=47(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
