features,n_flagged,tp,fp,fn,precision,recall,f1,lift
vol_ratio_1h+vol_trend_slope,1733,390,1343,339,0.225,0.535,0.3168,1.3466
vol_spike_count+vol_trend_slope,1193,303,890,426,0.254,0.4156,0.3153,1.5197
vol_spike_count+vol_ratio_1h,1128,288,840,441,0.2553,0.3951,0.3102,1.5277
vol_ratio_1h+oi_chg_4h,1199,261,938,468,0.2177,0.358,0.2707,1.3025
vol_ratio_1h+funding_rate,871,208,663,521,0.2388,0.2853,0.26,1.4289
vol_trend_slope+oi_chg_4h,1200,240,960,489,0.2,0.3292,0.2488,1.1967
vol_trend_slope+funding_rate,895,191,704,538,0.2134,0.262,0.2352,1.2769
vol_spike_count+oi_chg_4h,693,167,526,562,0.241,0.2291,0.2349,1.4419
vol_ratio_1h+hour_of_day,1396,246,1150,483,0.1762,0.3374,0.2315,1.0544
vol_trend_slope+hour_of_day,1474,243,1231,486,0.1649,0.3333,0.2206,0.9864
hour_of_day+oi_chg_4h,1073,198,875,531,0.1845,0.2716,0.2198,1.1041
funding_rate+oi_chg_4h,779,161,618,568,0.2067,0.2209,0.2135,1.2366
vol_spike_count+funding_rate,484,128,356,601,0.2645,0.1756,0.211,1.5824
vol_spike_count+hour_of_day,872,164,708,565,0.1881,0.225,0.2049,1.1253
funding_rate+hour_of_day,800,153,647,576,0.1913,0.2099,0.2001,1.1444
