dump_id,symbol,start_ts,end_ts,pct_chg,vol_mult,dump_type,split
0,1000LUNCUSDT,2024-06-17 01:00:00+00:00,2024-06-18 01:00:00+00:00,20.123,4.0975,standard,train
1,1000LUNCUSDT,2024-06-21 14:00:00+00:00,2024-06-22 07:00:00+00:00,20.5494,10.0188,standard,train
2,1000LUNCUSDT,2024-07-04 05:00:00+00:00,2024-07-05 03:00:00+00:00,19.1355,4.8966,standard,train
3,1000LUNCUSDT,2024-08-04 06:00:00+00:00,2024-08-05 06:00:00+00:00,19.4952,4.4938,standard,train
4,1000LUNCUSDT,2024-12-08 22:00:00+00:00,2024-12-09 21:00:00+00:00,22.2598,2.0545,standard,train
5,1000LUNCUSDT,2024-12-19 11:00:00+00:00,2024-12-20 11:00:00+00:00,19.6951,2.3127,standard,train
6,1000LUNCUSDT,2025-01-19 01:00:00+00:00,2025-01-20 00:00:00+00:00,16.7006,3.9067,standard,train
7,1000LUNCUSDT,2025-02-02 05:00:00+00:00,2025-02-03 02:00:00+00:00,28.7045,6.8944,standard,train
8,1000LUNCUSDT,2025-10-10 05:00:00+00:00,2025-10-10 21:00:00+00:00,38.9852,10.3615,standard,train
9,1000LUNCUSDT,2025-10-16 07:00:00+00:00,2025-10-17 07:00:00+00:00,15.9677,3.0952,standard,train
10,1000LUNCUSDT,2025-12-05 20:00:00+00:00,2025-12-06 02:00:00+00:00,20.1718,194.5795,standard,test
11,1000LUNCUSDT,2025-12-06 17:00:00+00:00,2025-12-07 16:00:00+00:00,35.2517,86.128,standard,test
12,1000LUNCUSDT,2025-12-11 07:00:00+00:00,2025-12-12 04:00:00+00:00,30.8759,27.208,standard,test
13,1000LUNCUSDT,2026-01-30 22:00:00+00:00,2026-01-31 18:00:00+00:00,15.2326,2.1839,standard,test
14,1000LUNCUSDT,2026-05-06 00:00:00+00:00,2026-05-07 00:00:00+00:00,23.4379,5.876,standard,test
15,1000LUNCUSDT,2025-02-03 00:00:00+00:00,2025-02-03 01:00:00+00:00,12.2666,23.438,fast,train
16,1000LUNCUSDT,2025-10-10 20:00:00+00:00,2025-10-10 21:00:00+00:00,28.2179,71.139,fast,train
17,1000LUNCUSDT,2025-12-06 18:00:00+00:00,2025-12-06 19:00:00+00:00,14.2609,268.7767,fast,test
18,1000PEPEUSDT,2024-07-04 10:00:00+00:00,2024-07-05 08:00:00+00:00,20.1925,3.4389,standard,train
19,1000PEPEUSDT,2024-08-04 12:00:00+00:00,2024-08-05 12:00:00+00:00,29.8248,5.3671,standard,train
20,1000PEPEUSDT,2024-10-01 12:00:00+00:00,2024-10-02 12:00:00+00:00,15.8831,3.6004,standard,train
21,1000PEPEUSDT,2024-11-14 05:00:00+00:00,2024-11-15 04:00:00+00:00,20.656,3.536,standard,train
22,1000PEPEUSDT,2024-12-09 18:00:00+00:00,2024-12-10 17:00:00+00:00,19.424,3.0688,standard,train
23,1000PEPEUSDT,2024-12-19 11:00:00+00:00,2024-12-20 11:00:00+00:00,25.7584,2.5224,standard,train
24,1000PEPEUSDT,2025-01-19 02:00:00+00:00,2025-01-20 00:00:00+00:00,19.3565,3.2866,standard,train
25,1000PEPEUSDT,2025-01-26 19:00:00+00:00,2025-01-27 10:00:00+00:00,18.5357,2.5315,standard,train
26,1000PEPEUSDT,2025-02-02 05:00:00+00:00,2025-02-03 04:00:00+00:00,29.3492,4.4736,standard,train
27,1000PEPEUSDT,2025-02-24 07:00:00+00:00,2025-02-25 07:00:00+00:00,16.2604,2.2204,standard,train
28,1000PEPEUSDT,2025-03-03 16:00:00+00:00,2025-03-04 16:00:00+00:00,16.9593,2.193,standard,train
29,1000PEPEUSDT,2025-03-10 11:00:00+00:00,2025-03-11 00:00:00+00:00,16.2323,2.5594,standard,train
30,1000PEPEUSDT,2025-04-02 15:00:00+00:00,2025-04-03 14:00:00+00:00,18.095,2.0005,standard,train
31,1000PEPEUSDT,2025-04-06 08:00:00+00:00,2025-04-07 06:00:00+00:00,17.6882,2.0574,standard,train
32,1000PEPEUSDT,2025-10-10 05:00:00+00:00,2025-10-10 22:00:00+00:00,29.3934,6.3245,standard,train
33,1000PEPEUSDT,2025-11-20 12:00:00+00:00,2025-11-21 11:00:00+00:00,16.3248,3.3024,standard,test
34,1000PEPEUSDT,2026-02-04 23:00:00+00:00,2026-02-05 23:00:00+00:00,18.4597,3.0908,standard,test
35,1000PEPEUSDT,2024-11-13 18:00:00+00:00,2024-11-13 19:00:00+00:00,13.1043,15.7278,fast,train
36,1000PEPEUSDT,2025-10-10 20:00:00+00:00,2025-10-10 21:00:00+00:00,16.0333,43.6224,fast,train
37,1000SHIBUSDT,2024-07-04 02:00:00+00:00,2024-07-05 02:00:00+00:00,17.931,2.442,standard,train
38,1000SHIBUSDT,2024-08-04 12:00:00+00:00,2024-08-05 12:00:00+00:00,22.1314,4.3253,standard,train
39,1000SHIBUSDT,2024-11-12 08:00:00+00:00,2024-11-13 06:00:00+00:00,19.7549,6.7031,standard,train
40,1000SHIBUSDT,2024-12-09 18:00:00+00:00,2024-12-10 17:00:00+00:00,18.4422,2.0619,standard,train
41,1000SHIBUSDT,2024-12-19 11:00:00+00:00,2024-12-20 11:00:00+00:00,23.9509,2.8672,standard,train
42,1000SHIBUSDT,2025-02-02 01:00:00+00:00,2025-02-03 01:00:00+00:00,26.5213,3.6447,standard,train
43,1000SHIBUSDT,2025-03-02 23:00:00+00:00,2025-03-03 21:00:00+00:00,15.9593,2.0631,standard,train
44,1000SHIBUSDT,2025-10-10 05:00:00+00:00,2025-10-10 21:00:00+00:00,23.6358,6.5886,standard,train
45,1000SHIBUSDT,2026-02-05 01:00:00+00:00,2026-02-06 00:00:00+00:00,15.2532,5.8876,standard,test
46,1000SHIBUSDT,2025-02-03 00:00:00+00:00,2025-02-03 01:00:00+00:00,11.2968,15.8244,fast,train
47,1000SHIBUSDT,2025-10-10 20:00:00+00:00,2025-10-10 21:00:00+00:00,13.9615,48.7171,fast,train
48,AAVEUSDT,2024-07-04 04:00:00+00:00,2024-07-05 02:00:00+00:00,15.2778,3.4328,standard,train
49,AAVEUSDT,2024-08-04 12:00:00+00:00,2024-08-05 12:00:00+00:00,28.4011,8.2245,standard,train
50,AAVEUSDT,2024-12-19 11:00:00+00:00,2024-12-20 11:00:00+00:00,22.1637,2.2926,standard,train
51,AAVEUSDT,2025-02-02 01:00:00+00:00,2025-02-03 01:00:00+00:00,27.6427,2.5247,standard,train
52,AAVEUSDT,2025-02-24 07:00:00+00:00,2025-02-25 07:00:00+00:00,17.785,2.3353,standard,train
53,AAVEUSDT,2025-03-02 22:00:00+00:00,2025-03-03 21:00:00+00:00,20.9738,2.0444,standard,train
54,AAVEUSDT,2025-03-06 02:00:00+00:00,2025-03-07 00:00:00+00:00,15.5647,2.7085,standard,train
55,AAVEUSDT,2025-04-06 06:00:00+00:00,2025-04-07 06:00:00+00:00,22.7056,2.6691,standard,train
56,AAVEUSDT,2025-10-10 13:00:00+00:00,2025-10-11 01:00:00+00:00,21.6244,6.8693,standard,train
57,AAVEUSDT,2025-10-16 11:00:00+00:00,2025-10-17 08:00:00+00:00,16.2141,3.012,standard,train
58,AAVEUSDT,2025-11-13 12:00:00+00:00,2025-11-14 12:00:00+00:00,16.902,2.7488,standard,test
59,AAVEUSDT,2026-02-05 00:00:00+00:00,2026-02-06 00:00:00+00:00,18.812,7.9716,standard,test
60,AAVEUSDT,2026-04-18 06:00:00+00:00,2026-04-19 06:00:00+00:00,20.108,6.9194,standard,test
61,AAVEUSDT,2025-02-03 00:00:00+00:00,2025-02-03 01:00:00+00:00,12.5367,12.1809,fast,train
62,AAVEUSDT,2025-10-10 20:00:00+00:00,2025-10-10 21:00:00+00:00,10.5469,45.0468,fast,train
63,ADAUSDT,2024-07-04 09:00:00+00:00,2024-07-05 08:00:00+00:00,18.769,4.3237,standard,train
64,ADAUSDT,2024-08-04 12:00:00+00:00,2024-08-05 12:00:00+00:00,20.3616,5.2554,standard,train
65,ADAUSDT,2024-11-12 08:00:00+00:00,2024-11-13 06:00:00+00:00,18.3442,4.9642,standard,train
66,ADAUSDT,2024-12-19 13:00:00+00:00,2024-12-20 11:00:00+00:00,20.7259,2.0241,standard,train
67,ADAUSDT,2025-01-07 10:00:00+00:00,2025-01-08 06:00:00+00:00,15.5641,2.4531,standard,train
68,ADAUSDT,2025-01-19 01:00:00+00:00,2025-01-20 00:00:00+00:00,15.4191,2.3478,standard,train
69,ADAUSDT,2025-02-02 01:00:00+00:00,2025-02-03 01:00:00+00:00,30.8507,2.6698,standard,train
70,ADAUSDT,2025-03-03 01:00:00+00:00,2025-03-04 01:00:00+00:00,27.5046,10.6442,standard,train
71,ADAUSDT,2025-04-06 06:00:00+00:00,2025-04-07 06:00:00+00:00,19.4128,2.3329,standard,train
72,ADAUSDT,2025-10-10 05:00:00+00:00,2025-10-10 22:00:00+00:00,24.79,7.135,standard,train
73,ADAUSDT,2025-11-20 12:00:00+00:00,2025-11-21 11:00:00+00:00,15.0863,3.4557,standard,test
74,ADAUSDT,2025-02-03 00:00:00+00:00,2025-02-03 01:00:00+00:00,18.0356,12.6194,fast,train
75,ADAUSDT,2025-10-10 20:00:00+00:00,2025-10-10 21:00:00+00:00,13.7599,50.6117,fast,train
76,ALTUSDT,2024-06-17 01:00:00+00:00,2024-06-18 01:00:00+00:00,20.0027,2.4456,standard,train
77,ALTUSDT,2024-07-04 03:00:00+00:00,2024-07-05 03:00:00+00:00,24.6208,8.1902,standard,train
78,ALTUSDT,2024-08-04 12:00:00+00:00,2024-08-05 06:00:00+00:00,25.8711,4.7442,standard,train
79,ALTUSDT,2024-10-01 04:00:00+00:00,2024-10-01 22:00:00+00:00,21.6162,3.8699,standard,train
80,ALTUSDT,2024-10-02 03:00:00+00:00,2024-10-02 21:00:00+00:00,18.0708,3.533,standard,train
81,ALTUSDT,2024-11-12 08:00:00+00:00,2024-11-13 05:00:00+00:00,17.2058,2.2163,standard,train
82,ALTUSDT,2024-11-14 04:00:00+00:00,2024-11-15 04:00:00+00:00,25.8237,3.9031,standard,train
83,ALTUSDT,2024-12-08 22:00:00+00:00,2024-12-09 22:00:00+00:00,22.0135,2.0106,standard,train
84,ALTUSDT,2025-01-19 01:00:00+00:00,2025-01-20 00:00:00+00:00,19.7247,3.8391,standard,train
85,ALTUSDT,2025-01-26 17:00:00+00:00,2025-01-27 10:00:00+00:00,15.3131,2.3211,standard,train
86,ALTUSDT,2025-02-02 09:00:00+00:00,2025-02-03 04:00:00+00:00,36.5872,5.8811,standard,train
87,ALTUSDT,2025-02-24 07:00:00+00:00,2025-02-25 07:00:00+00:00,16.5879,2.1694,standard,train
88,ALTUSDT,2025-04-06 06:00:00+00:00,2025-04-07 06:00:00+00:00,16.5807,2.9577,standard,train
89,ALTUSDT,2025-06-16 09:00:00+00:00,2025-06-17 08:00:00+00:00,29.828,113.606,standard,train
90,ALTUSDT,2025-07-11 05:00:00+00:00,2025-07-12 05:00:00+00:00,27.7811,10.1106,standard,train
91,ALTUSDT,2025-07-28 00:00:00+00:00,2025-07-29 00:00:00+00:00,20.218,3.8224,standard,train
92,ALTUSDT,2025-09-21 18:00:00+00:00,2025-09-22 16:00:00+00:00,15.5411,2.1874,standard,train
93,ALTUSDT,2025-10-10 05:00:00+00:00,2025-10-11 01:00:00+00:00,37.6541,6.3444,standard,train
94,ALTUSDT,2025-10-29 20:00:00+00:00,2025-10-30 19:00:00+00:00,17.6319,2.118,standard,train
95,ALTUSDT,2025-11-03 05:00:00+00:00,2025-11-03 15:00:00+00:00,23.8897,17.004,standard,test
96,ALTUSDT,2025-11-21 05:00:00+00:00,2025-11-22 05:00:00+00:00,18.4323,4.955,standard,test
97,ALTUSDT,2026-01-30 18:00:00+00:00,2026-01-31 18:00:00+00:00,15.9696,2.8667,standard,test
98,ALTUSDT,2026-02-05 00:00:00+00:00,2026-02-06 00:00:00+00:00,17.2826,5.2966,standard,test
99,ALTUSDT,2026-05-22 11:00:00+00:00,2026-05-23 02:00:00+00:00,26.0178,43.0729,standard,test
100,ALTUSDT,2024-06-18 00:00:00+00:00,2024-06-18 01:00:00+00:00,11.4637,17.0723,fast,train
101,ALTUSDT,2025-02-03 00:00:00+00:00,2025-02-03 01:00:00+00:00,13.573,17.6208,fast,train
102,ALTUSDT,2025-06-16 09:00:00+00:00,2025-06-16 10:00:00+00:00,12.7585,525.584,fast,train
103,ALTUSDT,2025-10-10 20:00:00+00:00,2025-10-10 21:00:00+00:00,21.0747,46.7673,fast,train
104,APTUSDT,2024-06-17 18:00:00+00:00,2024-06-18 18:00:00+00:00,15.606,3.5308,standard,train
105,APTUSDT,2024-07-04 04:00:00+00:00,2024-07-05 02:00:00+00:00,18.1366,3.7827,standard,train
106,APTUSDT,2024-08-04 12:00:00+00:00,2024-08-05 12:00:00+00:00,19.7095,7.1279,standard,train
107,APTUSDT,2024-12-09 18:00:00+00:00,2024-12-10 17:00:00+00:00,18.9198,2.1475,standard,train
108,APTUSDT,2024-12-19 11:00:00+00:00,2024-12-20 11:00:00+00:00,20.5085,2.4753,standard,train
109,APTUSDT,2024-12-21 07:00:00+00:00,2024-12-22 04:00:00+00:00,17.0804,2.4885,standard,train
110,APTUSDT,2025-02-02 08:00:00+00:00,2025-02-03 02:00:00+00:00,29.1138,4.7964,standard,train
111,APTUSDT,2025-04-06 08:00:00+00:00,2025-04-07 06:00:00+00:00,17.7439,2.673,standard,train
112,APTUSDT,2025-07-23 08:00:00+00:00,2025-07-24 06:00:00+00:00,19.8363,3.1474,standard,train
113,APTUSDT,2025-10-10 03:00:00+00:00,2025-10-11 01:00:00+00:00,30.811,6.0038,standard,train
114,APTUSDT,2025-10-16 11:00:00+00:00,2025-10-17 08:00:00+00:00,15.4282,2.4788,standard,train
115,APTUSDT,2025-11-03 00:00:00+00:00,2025-11-03 20:00:00+00:00,17.2927,2.0412,standard,test
116,APTUSDT,2025-11-20 12:00:00+00:00,2025-11-21 11:00:00+00:00,19.4214,2.0141,standard,test
117,APTUSDT,2026-01-30 18:00:00+00:00,2026-01-31 18:00:00+00:00,17.6254,2.8185,standard,test
118,APTUSDT,2026-02-05 01:00:00+00:00,2026-02-06 00:00:00+00:00,17.4063,5.0732,standard,test
119,APTUSDT,2025-02-03 00:00:00+00:00,2025-02-03 01:00:00+00:00,11.5043,12.2622,fast,train
120,APTUSDT,2025-10-10 20:00:00+00:00,2025-10-10 21:00:00+00:00,16.5971,39.8911,fast,train
121,ARBUSDT,2024-06-17 01:00:00+00:00,2024-06-18 01:00:00+00:00,16.1104,2.3943,standard,train
122,ARBUSDT,2024-07-04 04:00:00+00:00,2024-07-05 02:00:00+00:00,21.6555,5.2604,standard,train
123,ARBUSDT,2024-08-04 12:00:00+00:00,2024-08-05 12:00:00+00:00,27.9146,6.5282,standard,train
