feature,median_dump,median_ctrl,n_dump,n_ctrl,p_value,lift,lift_ci_lo,lift_ci_hi,note
vol_spike_count,0.0,0.0,781,3905,0.0,1.4937,1.3592,1.6329,significant
vol_ratio_1h,1.178273,0.904491,781,3905,0.0,1.2774,1.1797,1.3722,significant
vol_trend_slope,0.021193,-0.013135,781,3905,0.0,1.2352,1.1437,1.3326,significant
funding_rate,5e-05,5e-05,781,3905,0.0,1.1484,1.0386,1.2565,significant_low_lift
hour_of_day,11.0,9.0,781,3905,0.030045,1.0515,0.9617,1.1489,significant_low_lift
oi_chg_4h,0.000102,-8.5e-05,729,3633,0.15687,1.0178,0.9264,1.1143,not_significant
price_momentum_4h,0.320228,0.310139,781,3905,0.59389,1.0034,0.9147,1.0949,not_significant
upper_wick_ratio,0.219048,0.229508,781,3905,0.361605,0.9691,0.8745,1.0591,not_significant
support_break,0.0,0.0,781,3905,0.577944,0.9492,0.7619,1.1309,not_significant
cvd_divergence,0.0,0.0,781,3905,0.065675,0.9062,0.7931,1.0251,not_significant
btc_regime,0.0,0.0,781,3905,0.0,0.7389,0.6245,0.8471,significant_low_lift
long_liq_ratio_4h,0.5,0.5,781,3905,1.0,,,,not_significant
