threshold_pct,window_h,n_events_total,n_events_train,n_events_test,base_rate_test,vol_spike_lift,model_lift_top25
10.0,1,439,175,264,0.0709,1.471,1.742
10.0,4,458,176,282,0.0754,1.486,1.786
10.0,8,501,189,312,0.0827,1.503,1.872
10.0,24,1473,781,692,0.1667,1.356,1.717
12.0,1,290,122,168,0.0463,1.456,1.867
12.0,4,309,123,186,0.051,1.486,1.934
12.0,8,352,136,216,0.0588,1.517,1.963
12.0,24,1324,728,596,0.1469,1.351,1.758
15.0,1,150,62,88,0.0248,1.67,2.273
15.0,4,169,63,106,0.0297,1.691,2.301
15.0,8,212,76,136,0.0378,1.702,2.118
15.0,24,1184,668,516,0.1298,1.383,1.86
20.0,1,54,32,22,0.0063,1.521,2.36
20.0,4,66,32,34,0.0097,1.868,2.466
20.0,8,92,39,53,0.0151,1.874,2.338
20.0,24,512,294,218,0.0593,1.615,2.072
