period,n_train,n_test,n_dumps,base_rate,precision,recall,lift,top25_lift,tp,fp,fn
2024-06,564,44,28,0.6364,1.0,0.0357,1.5714,0.5789,1,0,27
2024-07,608,55,45,0.8182,0.7561,0.6889,0.9241,1.0476,31,10,14
2024-08,663,152,47,0.3092,0.15,0.1277,0.4851,0.4255,6,34,41
2024-10,1175,126,10,0.0794,0.0476,0.3,0.6,0.0,3,60,7
2024-11,1301,75,27,0.36,0.3056,0.4074,0.8488,0.4386,11,25,16
2024-12,1376,106,75,0.7075,0.5946,0.2933,0.8404,0.9422,22,15,53
2025-01,1482,322,44,0.1366,0.1463,0.5455,1.071,0.9035,24,140,20
2025-02,1804,408,119,0.2917,0.3697,0.5126,1.2675,1.5462,61,104,58
2025-03,2212,153,58,0.3791,0.5167,0.5345,1.3629,1.2175,31,29,27
2025-04,2365,89,57,0.6404,0.5667,0.2982,0.8848,0.7468,17,13,40
2025-05,2454,123,14,0.1138,0.2105,0.5714,1.8496,1.7005,8,30,6
2025-06,2577,384,12,0.0312,0.0364,0.5,1.1636,2.0,6,159,6
2025-07,2961,279,20,0.0717,0.1321,0.7,1.8425,2.1921,14,92,6
2025-08,3240,161,12,0.0745,0.1765,0.75,2.3676,2.6179,9,42,3
2025-09,3401,187,20,0.107,0.1447,0.55,1.3533,1.3926,11,65,9
2025-10,3588,1098,191,0.174,0.1277,0.4398,0.7339,1.0243,84,574,107
2025-11,4686,725,117,0.1614,0.3333,0.4188,2.0655,1.7849,49,98,68
2025-12,5411,540,75,0.1389,0.245,0.6533,1.764,2.1706,49,151,26
2026-01,5951,390,69,0.1769,0.259,0.5217,1.4639,1.7879,36,103,33
2026-02,6341,542,103,0.19,0.2278,0.3981,1.1986,1.3542,41,139,62
2026-03,6883,444,39,0.0878,0.097,0.4103,1.104,1.4359,16,149,23
2026-04,7327,660,140,0.2121,0.4053,0.6571,1.9106,2.2857,92,135,48
2026-05,7987,851,149,0.1751,0.3164,0.5839,1.8069,1.8951,87,188,62
