period_start,period_end,threshold,n_train,n_test,tp,fp,fn,precision,recall,lift
2024-10-29,2024-11-28,0.0,496,24,6,0,5,1.0,0.5455,9.92
2024-11-28,2024-12-28,0.0,520,26,3,0,22,1.0,0.12,8.5246
2024-12-28,2025-01-27,0.0,546,96,8,27,8,0.2286,0.5,1.4512
2025-01-27,2025-02-26,0.0,642,167,32,35,8,0.4776,0.8,3.0061
2025-02-26,2025-03-28,0.0,809,52,16,7,8,0.6957,0.6667,3.9633
2025-03-28,2025-04-27,0.5,861,20,4,0,16,1.0,0.2,5.1867
2025-04-27,2025-05-27,0.0,881,28,0,11,1,0.0,0.0,0.0
2025-05-27,2025-06-26,0.0,909,117,3,38,1,0.0732,0.75,0.3557
2025-06-26,2025-07-26,0.0,1026,103,1,29,1,0.0333,0.5,0.1791
2025-07-26,2025-08-25,0.0,1129,45,7,9,3,0.4375,0.7,2.5593
2025-08-25,2025-09-24,0.0,1174,49,5,18,1,0.2174,0.8333,1.2572
2025-09-24,2025-10-24,0.0,1223,181,26,42,28,0.3824,0.4815,2.2374
2025-10-24,2025-11-23,0.0,1404,524,19,82,28,0.1881,0.4043,1.0043
2025-11-23,2025-12-23,0.0,1928,158,16,59,8,0.2133,0.6667,1.3268
2025-12-23,2026-01-22,0.0,2086,197,10,58,17,0.1471,0.3704,0.9185
2026-01-22,2026-02-21,0.0,2283,245,15,81,21,0.1562,0.4167,0.9881
2026-02-21,2026-03-23,0.0,2528,227,3,71,8,0.0405,0.2727,0.2582
2026-03-23,2026-04-22,0.0,2755,341,23,120,25,0.1608,0.4792,1.0861
2026-04-22,2026-05-22,0.0,3096,317,64,95,46,0.4025,0.5818,2.7329
