дата,время_МСК,монета,тип,stage,сила_score,цена_входа,движение_max_4ч_%,направление,change_4h_%,исход,график_MEXC_TV
2026-05-02,01:19,XNYUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,80,0.00818,0,↑,-11.12,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AXNYUSDT.P
2026-05-02,18:37,APEUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,94,0.17766,0,↑,0.6,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AAPEUSDT.P
2026-05-02,19:05,1000000BABYDOGEUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,86,0.0004201,0,↑,-0.29,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3A1000000BABYDOGEUSDT.P
2026-05-03,02:02,XCNUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,79,0.005166,0,↑,0.0,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AXCNUSDT.P
2026-05-03,15:49,XCNUSDT,pump,🟠 СКВИЗ SETUP,88,0.005116,0,↑,-0.23,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AXCNUSDT.P
2026-05-04,00:20,1000BTTUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,80,0.0003237,0,↑,-0.77,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3A1000BTTUSDT.P
2026-05-04,01:02,AXLUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,80,0.08266,0,↑,-3.59,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AAXLUSDT.P
2026-05-04,01:35,AXLUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,80,0.08296,0,↑,-2.89,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AAXLUSDT.P
2026-05-04,14:59,REZUSDT,pump,🟠 PRE-BREAKOUT,80,0.005362,0,↑,2.63,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AREZUSDT.P
2026-05-04,17:03,AIGENSYNUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,177,0.036,0,↑,1.31,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AAIGENSYNUSDT.P
2026-05-04,19:35,BIOUSDT,pump,🟠 СКВИЗ SETUP,78,0.05802,0,↑,-0.09,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ABIOUSDT.P
2026-05-04,20:04,1000BTTUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,75,0.0003244,0,↑,0.03,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3A1000BTTUSDT.P
2026-05-05,01:28,ZECUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,80,518.76,0,↑,1.17,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AZECUSDT.P
2026-05-05,05:46,SOLUSDT,pump,🟠 PRE-BREAKOUT,81,84.69,0,↑,0.08,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ASOLUSDT.P
2026-05-05,07:09,BSBUSDT,pump,🟠 СКВИЗ SETUP,86,0.6073,0,↑,3.61,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ABSBUSDT.P
2026-05-05,07:30,1000PEPEUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,84,0.004038,0,↑,1.19,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3A1000PEPEUSDT.P
2026-05-05,08:32,DOGEUSDT,pump,🟠 PRE-BREAKOUT,92,0.11173,0,↑,-0.9,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ADOGEUSDT.P
2026-05-05,12:05,ORDIUSDT,pump,🟠 СКВИЗ SETUP,78,5.031,0,↑,0.91,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AORDIUSDT.P
2026-05-05,12:11,1000PEPEUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,82,0.004087,0,↑,0.22,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3A1000PEPEUSDT.P
2026-05-05,12:11,BCHUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,80,455.8,0,↑,0.97,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ABCHUSDT.P
2026-05-06,06:32,BUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,80,0.45369,0,↑,-14.02,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ABUSDT.P
2026-05-06,15:10,SOLUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,78,89.69,0,↑,-0.75,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ASOLUSDT.P
2026-05-07,02:48,JTOUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,80,0.5958,0,↑,-1.23,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AJTOUSDT.P
2026-05-07,07:40,WIFUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,78,0.21437,0,↑,0.11,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AWIFUSDT.P
2026-05-07,10:10,TONUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,80,2.863,0,↑,-10.03,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ATONUSDT.P
2026-05-07,15:20,IOUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,88,0.15124,0,↑,-0.88,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AIOUSDT.P
2026-05-08,12:54,NILUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,80,0.0716,0,↑,-3.67,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ANILUSDT.P
2026-05-08,14:49,CLUSDT,pump,🟠 PRE-BREAKOUT,88,93.96,0,↑,0.78,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ACLUSDT.P
2026-05-08,15:05,BILLUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,95,0.08856,0,↑,-1.47,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ABILLUSDT.P
2026-05-08,15:38,CHIPUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,88,0.067,0,↑,11.27,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ACHIPUSDT.P
2026-05-08,20:37,HMSTRUSDT,pump,🟠 PRE-BREAKOUT,78,0.0001894,0,↑,0.05,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AHMSTRUSDT.P
2026-05-09,01:39,BANANAUSDT,pump,🔴 ПРУЖИНА,100,5.029,18.9,↓,-14.4,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3ABANANAUSDT.P
2026-05-09,03:18,PLAYSOUTUSDT,rug_prep,⚠ СКРЫТЫЙ ШОРТ,80,0.08643,0,↑,14.89,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3APLAYSOUTUSDT.P
2026-05-09,11:10,DASHUSDT,pump,🟠 PRE-BREAKOUT,88,50.19,0,↑,-1.26,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ADASHUSDT.P
2026-05-09,23:24,OPENUSDT,pump,🟠 PRE-BREAKOUT,103,0.19667,1.8,↑,-0.07,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AOPENUSDT.P
2026-05-10,00:08,XAGUSDT,pump,🟠 PRE-BREAKOUT,113,80.12,1.3,↓,0.22,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AXAGUSDT.P
2026-05-10,00:10,XAGUSDT,pump,🟠 PRE-BREAKOUT,113,80.17,1.4,↓,-0.17,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AXAGUSDT.P
2026-05-10,00:15,AAVEUSDT,pump,🟠 PRE-BREAKOUT,88,99.47,3.4,↑,1.54,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AAAVEUSDT.P
2026-05-10,00:15,HYPEUSDT,pump,🟠 PRE-BREAKOUT,86,42.188,2.3,↑,1.24,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AHYPEUSDT.P
2026-05-10,01:19,CLUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,85,95.95,2.1,↓,1.28,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ACLUSDT.P
2026-05-10,01:59,CLUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,85,96.62,1.4,↓,1.36,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ACLUSDT.P
2026-05-10,03:45,OPENUSDT,pump,🟠 PRE-BREAKOUT,88,0.19532,2.9,↓,-0.51,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AOPENUSDT.P
2026-05-10,10:39,QUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,85,0.017105,6.5,↓,4.3,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AQUSDT.P
2026-05-10,14:16,DOGEUSDT,pump,🔴 ПРУЖИНА,88,0.10841,0.5,↓,-0.02,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ADOGEUSDT.P
2026-05-10,14:27,DOGEUSDT,pump,🔴 ПРУЖИНА,88,0.10809,0.4,↑,0.2,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ADOGEUSDT.P
2026-05-10,16:58,EGLDUSDT,pump,🟠 PRE-BREAKOUT,120,4.725,1.4,↓,1.16,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AEGLDUSDT.P
2026-05-10,17:49,WALUSDT,pump,🔴 ПРУЖИНА,115,0.08337,6.9,↑,6.85,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AWALUSDT.P
2026-05-10,17:57,WALUSDT,pump,🔴 ПРУЖИНА,115,0.08337,7.2,↑,7.14,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AWALUSDT.P
2026-05-10,18:05,LABUSDT,pump,🔴 ПРУЖИНА,108,4.6024,8.4,↑,-0.09,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3ALABUSDT.P
2026-05-10,18:14,EGLDUSDT,pump,🔴 ПРУЖИНА,138,4.672,3.0,↑,3.02,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AEGLDUSDT.P
2026-05-10,18:14,LABUSDT,pump,🔴 ПРУЖИНА,108,4.6141,8.1,↑,-0.39,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3ALABUSDT.P
2026-05-10,20:29,NAORISUSDT,pump,🔴 ПРУЖИНА,88,0.09151,7.7,↓,-2.03,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3ANAORISUSDT.P
2026-05-10,20:30,NAORISUSDT,pump,🔴 ПРУЖИНА,88,0.09159,7.7,↓,-2.0,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3ANAORISUSDT.P
2026-05-11,04:19,XAUUSDT,pump,🔴 ПРУЖИНА,115,4695.4,0.5,↓,-0.38,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AXAUUSDT.P
2026-05-11,04:20,XAUUSDT,pump,🔴 ПРУЖИНА,115,4699.93,0.6,↓,-0.48,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AXAUUSDT.P
2026-05-11,05:35,ENSUSDT,pump,🟠 PRE-BREAKOUT,110,7.246,4.6,↑,3.38,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AENSUSDT.P
2026-05-11,05:39,ENSUSDT,pump,🟠 PRE-BREAKOUT,110,7.236,4.8,↑,3.36,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AENSUSDT.P
2026-05-11,06:05,USUSDT,pump,🔴 ПРУЖИНА,88,0.006297,3.8,↑,2.99,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AUSUSDT.P
2026-05-11,06:46,USUSDT,pump,🔴 ПРУЖИНА,90,0.006296,3.8,↑,3.3,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AUSUSDT.P
2026-05-11,07:27,MNTUSDT,pump,🟠 PRE-BREAKOUT,90,0.7037,0.7,↑,-0.5,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AMNTUSDT.P
2026-05-11,08:23,XAUUSDT,pump,🟠 PRE-BREAKOUT,115,4677.75,0.5,↓,-0.31,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AXAUUSDT.P
2026-05-11,08:43,XAUUSDT,pump,🟠 PRE-BREAKOUT,115,4678.36,0.6,↓,-0.23,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AXAUUSDT.P
2026-05-11,09:02,XAGUSDT,pump,🟠 PRE-BREAKOUT,85,79.9,1.1,↑,0.4,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AXAGUSDT.P
2026-05-11,19:34,CLUSDT,pump,🟠 PRE-BREAKOUT,85,96.82,1.0,↑,-0.6,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ACLUSDT.P
2026-05-11,20:27,UBUSDT,pump,🔴 ПРУЖИНА,85,0.14718,7.0,↓,-2.36,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AUBUSDT.P
2026-05-12,01:01,DYMUSDT,pump,🔴 ПРУЖИНА,115,0.03012,12.9,↑,-0.73,WIN,https://www.tradingview.com/chart/?symbol=MEXC%3ADYMUSDT.P
2026-05-12,10:17,BILLUSDT,pump,🔴 ПРУЖИНА,130,0.14172,13.1,↑,12.7,WIN,https://www.tradingview.com/chart/?symbol=MEXC%3ABILLUSDT.P
2026-05-12,11:59,FARTCOINUSDT,pump,🔴 ПРУЖИНА,113,0.24769,5.4,↓,-3.96,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AFARTCOINUSDT.P
2026-05-12,12:14,MONUSDT,pump,🟠 PRE-BREAKOUT,86,0.031692,2.2,↓,-1.15,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AMONUSDT.P
