symbol,unlock_date,pct_of_supply,usd_value,type,source
APTUSDT,2024-05-01,0.987,0,linear,manual_curation_top20
APTUSDT,2024-06-01,0.987,0,linear,manual_curation_top20
APTUSDT,2024-07-01,0.987,0,linear,manual_curation_top20
APTUSDT,2024-08-01,0.987,0,linear,manual_curation_top20
APTUSDT,2024-09-01,0.987,0,linear,manual_curation_top20
APTUSDT,2024-10-01,0.987,0,linear,manual_curation_top20
APTUSDT,2024-11-01,0.987,0,linear,manual_curation_top20
APTUSDT,2024-12-01,0.987,0,linear,manual_curation_top20
APTUSDT,2025-01-01,0.987,0,linear,manual_curation_top20
APTUSDT,2025-02-01,0.987,0,linear,manual_curation_top20
APTUSDT,2025-03-01,0.987,0,linear,manual_curation_top20
APTUSDT,2025-04-01,0.987,0,linear,manual_curation_top20
APTUSDT,2025-05-01,0.987,0,linear,manual_curation_top20
APTUSDT,2025-06-01,0.987,0,linear,manual_curation_top20
APTUSDT,2025-07-01,0.987,0,linear,manual_curation_top20
APTUSDT,2025-08-01,0.987,0,linear,manual_curation_top20
APTUSDT,2025-09-01,0.987,0,linear,manual_curation_top20
APTUSDT,2025-10-01,0.987,0,linear,manual_curation_top20
APTUSDT,2025-11-01,0.987,0,linear,manual_curation_top20
APTUSDT,2025-12-01,0.987,0,linear,manual_curation_top20
APTUSDT,2026-01-01,0.987,0,linear,manual_curation_top20
APTUSDT,2026-02-01,0.987,0,linear,manual_curation_top20
APTUSDT,2026-03-01,0.987,0,linear,manual_curation_top20
APTUSDT,2026-04-01,0.987,0,linear,manual_curation_top20
ARBUSDT,2024-05-16,0.92,0,linear,manual_curation_top20
ARBUSDT,2024-06-16,0.92,0,linear,manual_curation_top20
ARBUSDT,2024-07-16,0.92,0,linear,manual_curation_top20
ARBUSDT,2024-08-16,0.92,0,linear,manual_curation_top20
ARBUSDT,2024-09-16,0.92,0,linear,manual_curation_top20
ARBUSDT,2024-10-16,0.92,0,linear,manual_curation_top20
ARBUSDT,2024-11-16,0.92,0,linear,manual_curation_top20
ARBUSDT,2024-12-16,0.92,0,linear,manual_curation_top20
ARBUSDT,2025-01-16,0.92,0,linear,manual_curation_top20
ARBUSDT,2025-02-16,0.92,0,linear,manual_curation_top20
ARBUSDT,2025-03-16,0.92,0,linear,manual_curation_top20
ARBUSDT,2025-04-16,0.92,0,linear,manual_curation_top20
ARBUSDT,2025-05-16,0.92,0,linear,manual_curation_top20
ARBUSDT,2025-06-16,0.92,0,linear,manual_curation_top20
ARBUSDT,2025-07-16,0.92,0,linear,manual_curation_top20
ARBUSDT,2025-08-16,0.92,0,linear,manual_curation_top20
ARBUSDT,2025-09-16,0.92,0,linear,manual_curation_top20
ARBUSDT,2025-10-16,0.92,0,linear,manual_curation_top20
ARBUSDT,2025-11-16,0.92,0,linear,manual_curation_top20
ARBUSDT,2025-12-16,0.92,0,linear,manual_curation_top20
ARBUSDT,2026-01-16,0.92,0,linear,manual_curation_top20
ARBUSDT,2026-02-16,0.92,0,linear,manual_curation_top20
ARBUSDT,2026-03-16,0.92,0,linear,manual_curation_top20
ENAUSDT,2024-10-05,1.41,0,cliff,manual_curation_top20
ENAUSDT,2024-11-05,1.41,0,linear,manual_curation_top20
ENAUSDT,2024-12-05,1.41,0,linear,manual_curation_top20
ENAUSDT,2025-01-05,1.41,0,linear,manual_curation_top20
ENAUSDT,2025-02-05,1.41,0,linear,manual_curation_top20
ENAUSDT,2025-03-05,1.41,0,linear,manual_curation_top20
ENAUSDT,2025-04-05,1.41,0,linear,manual_curation_top20
ENAUSDT,2025-05-05,1.41,0,linear,manual_curation_top20
ENAUSDT,2025-06-05,1.41,0,linear,manual_curation_top20
ENAUSDT,2025-07-05,1.41,0,linear,manual_curation_top20
ENAUSDT,2025-08-05,1.41,0,linear,manual_curation_top20
ENAUSDT,2025-09-05,1.41,0,linear,manual_curation_top20
