pump_id,date,start_ms,symbol,pct_chg,pump_type,split,liq_sweep,macro_extreme,stablecoin_inflow,news_signal,token_unlock,liq_note,news_note,catalysts,confidence
0,2024-05-13 07:00:00+00:00,1715583600000,1000PEPEUSDT,23.5152,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
1,2024-07-15 10:00:00+00:00,1721037600000,1000PEPEUSDT,30.9323,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
2,2024-08-05 12:00:00+00:00,1722859200000,1000PEPEUSDT,32.3068,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
3,2024-11-11 13:00:00+00:00,1731330000000,1000PEPEUSDT,22.9692,main,train,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
4,2024-11-13 06:00:00+00:00,1731477600000,1000PEPEUSDT,94.3963,main,train,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
5,2025-02-03 04:00:00+00:00,1738555200000,1000PEPEUSDT,29.4493,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
6,2025-05-08 11:00:00+00:00,1746702000000,1000PEPEUSDT,47.1553,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
7,2025-09-12 13:00:00+00:00,1757682000000,1000PEPEUSDT,18.1897,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
8,2026-01-01 16:00:00+00:00,1767283200000,1000PEPEUSDT,38.4138,main,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
9,2026-01-03 11:00:00+00:00,1767438000000,1000PEPEUSDT,18.776,main,test,0,0,0,0,0,no_coverage,no_coverage,none,NONE
10,2026-02-05 23:00:00+00:00,1770332400000,1000PEPEUSDT,15.3503,main,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
11,2026-02-14 06:00:00+00:00,1771048800000,1000PEPEUSDT,30.8409,main,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
12,2026-03-15 16:00:00+00:00,1773590400000,1000PEPEUSDT,22.3184,main,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
13,2024-05-13 15:00:00+00:00,1715612400000,1000PEPEUSDT,10.4526,fast,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
14,2024-05-20 18:00:00+00:00,1716228000000,1000PEPEUSDT,10.3855,fast,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
15,2024-11-13 12:00:00+00:00,1731499200000,1000PEPEUSDT,32.8022,fast,train,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
