features,n_flagged,tp,fp,fn,precision,recall,f1,lift
vol_spike_count+vol_ratio_1h,481,187,294,79,0.3888,0.703,0.5007,2.1426
vol_spike_count+vol_ratio_4h,550,188,362,78,0.3418,0.7068,0.4608,1.8839
vol_ratio_1h+vol_ratio_4h,685,213,472,53,0.3109,0.8008,0.4479,1.7137
vol_spike_count+oi_oi_btc_corr,308,118,190,148,0.3831,0.4436,0.4111,2.1115
vol_ratio_1h+funding_last,286,110,176,156,0.3846,0.4135,0.3986,2.1197
vol_ratio_4h+funding_last,278,105,173,161,0.3777,0.3947,0.386,2.0816
vol_ratio_1h+oi_oi_btc_corr,460,139,321,127,0.3022,0.5226,0.3829,1.6654
vol_spike_count+funding_last,191,87,104,179,0.4555,0.3271,0.3807,2.5104
vol_ratio_4h+oi_oi_btc_corr,429,132,297,134,0.3077,0.4962,0.3799,1.6958
vol_ratio_1h+hour_of_day,415,122,293,144,0.294,0.4586,0.3583,1.6202
vol_spike_count+hour_of_day,290,96,194,170,0.331,0.3609,0.3453,1.8244
vol_ratio_4h+hour_of_day,411,115,296,151,0.2798,0.4323,0.3397,1.5421
oi_oi_btc_corr+funding_last,277,76,201,190,0.2744,0.2857,0.2799,1.5121
oi_oi_btc_corr+hour_of_day,362,81,281,185,0.2238,0.3045,0.258,1.2332
funding_last+hour_of_day,285,69,216,197,0.2421,0.2594,0.2505,1.3343
