symbol,start_ts,end_ts,matched_pump_id,split
1000PEPEUSDT,2024-06-01 02:00:00+00:00,2024-06-02 02:00:00+00:00,0,train
1000PEPEUSDT,2024-10-04 07:00:00+00:00,2024-10-05 07:00:00+00:00,0,train
1000PEPEUSDT,2025-03-03 07:00:00+00:00,2025-03-04 07:00:00+00:00,0,train
1000PEPEUSDT,2025-07-11 12:00:00+00:00,2025-07-12 12:00:00+00:00,0,train
1000PEPEUSDT,2025-10-31 00:00:00+00:00,2025-11-01 00:00:00+00:00,0,train
1000PEPEUSDT,2024-05-02 00:00:00+00:00,2024-05-03 00:00:00+00:00,1,train
1000PEPEUSDT,2024-09-17 21:00:00+00:00,2024-09-18 21:00:00+00:00,1,train
1000PEPEUSDT,2025-01-24 04:00:00+00:00,2025-01-25 04:00:00+00:00,1,train
1000PEPEUSDT,2025-05-30 12:00:00+00:00,2025-05-31 12:00:00+00:00,1,train
1000PEPEUSDT,2025-10-31 00:00:00+00:00,2025-11-01 00:00:00+00:00,1,train
1000PEPEUSDT,2024-05-17 09:00:00+00:00,2024-05-18 09:00:00+00:00,2,train
1000PEPEUSDT,2024-09-03 21:00:00+00:00,2024-09-04 21:00:00+00:00,2,train
1000PEPEUSDT,2025-02-16 06:00:00+00:00,2025-02-17 06:00:00+00:00,2,train
1000PEPEUSDT,2025-06-10 04:00:00+00:00,2025-06-11 04:00:00+00:00,2,train
1000PEPEUSDT,2025-10-31 00:00:00+00:00,2025-11-01 00:00:00+00:00,2,train
1000PEPEUSDT,2024-05-02 00:00:00+00:00,2024-05-03 00:00:00+00:00,3,train
1000PEPEUSDT,2024-10-19 02:00:00+00:00,2024-10-20 02:00:00+00:00,3,train
1000PEPEUSDT,2025-02-24 00:00:00+00:00,2025-02-25 00:00:00+00:00,3,train
1000PEPEUSDT,2025-06-07 09:00:00+00:00,2025-06-08 09:00:00+00:00,3,train
1000PEPEUSDT,2025-10-31 00:00:00+00:00,2025-11-01 00:00:00+00:00,3,train
1000PEPEUSDT,2024-05-02 00:00:00+00:00,2024-05-03 00:00:00+00:00,4,train
1000PEPEUSDT,2024-08-30 08:00:00+00:00,2024-08-31 08:00:00+00:00,4,train
1000PEPEUSDT,2025-01-20 22:00:00+00:00,2025-01-21 22:00:00+00:00,4,train
1000PEPEUSDT,2025-06-27 00:00:00+00:00,2025-06-28 00:00:00+00:00,4,train
1000PEPEUSDT,2025-10-31 00:00:00+00:00,2025-11-01 00:00:00+00:00,4,train
1000PEPEUSDT,2024-05-02 00:00:00+00:00,2024-05-03 00:00:00+00:00,5,train
1000PEPEUSDT,2024-10-13 13:00:00+00:00,2024-10-14 13:00:00+00:00,5,train
1000PEPEUSDT,2025-01-31 16:00:00+00:00,2025-02-01 16:00:00+00:00,5,train
1000PEPEUSDT,2025-06-25 00:00:00+00:00,2025-06-26 00:00:00+00:00,5,train
1000PEPEUSDT,2025-10-31 00:00:00+00:00,2025-11-01 00:00:00+00:00,5,train
1000PEPEUSDT,2024-05-02 00:00:00+00:00,2024-05-03 00:00:00+00:00,6,train
1000PEPEUSDT,2024-10-08 08:00:00+00:00,2024-10-09 08:00:00+00:00,6,train
1000PEPEUSDT,2025-02-12 19:00:00+00:00,2025-02-13 19:00:00+00:00,6,train
1000PEPEUSDT,2025-07-05 18:00:00+00:00,2025-07-06 18:00:00+00:00,6,train
1000PEPEUSDT,2025-10-29 02:00:00+00:00,2025-10-30 02:00:00+00:00,6,train
1000PEPEUSDT,2024-05-15 17:00:00+00:00,2024-05-16 17:00:00+00:00,7,train
1000PEPEUSDT,2024-10-16 13:00:00+00:00,2024-10-17 13:00:00+00:00,7,train
1000PEPEUSDT,2025-02-11 03:00:00+00:00,2025-02-12 03:00:00+00:00,7,train
1000PEPEUSDT,2025-05-27 17:00:00+00:00,2025-05-28 17:00:00+00:00,7,train
1000PEPEUSDT,2025-10-31 00:00:00+00:00,2025-11-01 00:00:00+00:00,7,train
1000PEPEUSDT,2025-11-01 01:00:00+00:00,2025-11-02 01:00:00+00:00,8,test
1000PEPEUSDT,2025-12-19 10:00:00+00:00,2025-12-20 10:00:00+00:00,8,test
1000PEPEUSDT,2026-02-25 05:00:00+00:00,2026-02-26 05:00:00+00:00,8,test
1000PEPEUSDT,2026-04-04 21:00:00+00:00,2026-04-05 21:00:00+00:00,8,test
1000PEPEUSDT,2026-05-26 17:00:00+00:00,2026-05-27 17:00:00+00:00,8,test
1000PEPEUSDT,2025-11-01 01:00:00+00:00,2025-11-02 01:00:00+00:00,9,test
1000PEPEUSDT,2025-12-18 02:00:00+00:00,2025-12-19 02:00:00+00:00,9,test
1000PEPEUSDT,2026-02-20 02:00:00+00:00,2026-02-21 02:00:00+00:00,9,test
1000PEPEUSDT,2026-04-15 14:00:00+00:00,2026-04-16 14:00:00+00:00,9,test
1000PEPEUSDT,2026-05-19 15:00:00+00:00,2026-05-20 15:00:00+00:00,9,test
1000PEPEUSDT,2025-11-07 20:00:00+00:00,2025-11-08 20:00:00+00:00,10,test
1000PEPEUSDT,2025-12-22 04:00:00+00:00,2025-12-23 04:00:00+00:00,10,test
1000PEPEUSDT,2026-02-02 22:00:00+00:00,2026-02-03 22:00:00+00:00,10,test
1000PEPEUSDT,2026-04-16 11:00:00+00:00,2026-04-17 11:00:00+00:00,10,test
1000PEPEUSDT,2026-05-26 17:00:00+00:00,2026-05-27 17:00:00+00:00,10,test
1000PEPEUSDT,2025-11-09 14:00:00+00:00,2025-11-10 14:00:00+00:00,11,test
1000PEPEUSDT,2025-12-19 00:00:00+00:00,2025-12-20 00:00:00+00:00,11,test
1000PEPEUSDT,2026-02-27 00:00:00+00:00,2026-02-28 00:00:00+00:00,11,test
1000PEPEUSDT,2026-04-02 15:00:00+00:00,2026-04-03 15:00:00+00:00,11,test
1000PEPEUSDT,2026-05-26 00:00:00+00:00,2026-05-27 00:00:00+00:00,11,test
1000PEPEUSDT,2025-11-01 01:00:00+00:00,2025-11-02 01:00:00+00:00,12,test
1000PEPEUSDT,2025-12-25 12:00:00+00:00,2025-12-26 12:00:00+00:00,12,test
1000PEPEUSDT,2026-02-01 04:00:00+00:00,2026-02-02 04:00:00+00:00,12,test
1000PEPEUSDT,2026-04-16 04:00:00+00:00,2026-04-17 04:00:00+00:00,12,test
1000PEPEUSDT,2026-05-26 17:00:00+00:00,2026-05-27 17:00:00+00:00,12,test
1000PEPEUSDT,2024-05-27 21:00:00+00:00,2024-05-28 21:00:00+00:00,13,train
1000PEPEUSDT,2024-10-11 00:00:00+00:00,2024-10-12 00:00:00+00:00,13,train
1000PEPEUSDT,2025-02-07 18:00:00+00:00,2025-02-08 18:00:00+00:00,13,train
1000PEPEUSDT,2025-07-12 22:00:00+00:00,2025-07-13 22:00:00+00:00,13,train
1000PEPEUSDT,2025-10-31 00:00:00+00:00,2025-11-01 00:00:00+00:00,13,train
1000PEPEUSDT,2024-05-02 00:00:00+00:00,2024-05-03 00:00:00+00:00,14,train
1000PEPEUSDT,2024-09-28 20:00:00+00:00,2024-09-29 20:00:00+00:00,14,train
1000PEPEUSDT,2025-01-17 03:00:00+00:00,2025-01-18 03:00:00+00:00,14,train
1000PEPEUSDT,2025-06-04 06:00:00+00:00,2025-06-05 06:00:00+00:00,14,train
1000PEPEUSDT,2025-10-31 00:00:00+00:00,2025-11-01 00:00:00+00:00,14,train
1000PEPEUSDT,2024-05-02 00:00:00+00:00,2024-05-03 00:00:00+00:00,15,train
1000PEPEUSDT,2024-10-02 10:00:00+00:00,2024-10-03 10:00:00+00:00,15,train
1000PEPEUSDT,2025-01-29 09:00:00+00:00,2025-01-30 09:00:00+00:00,15,train
1000PEPEUSDT,2025-07-08 05:00:00+00:00,2025-07-09 05:00:00+00:00,15,train
1000PEPEUSDT,2025-10-17 23:00:00+00:00,2025-10-18 23:00:00+00:00,15,train
1000PEPEUSDT,2024-05-06 15:00:00+00:00,2024-05-07 15:00:00+00:00,16,train
1000PEPEUSDT,2024-09-12 12:00:00+00:00,2024-09-13 12:00:00+00:00,16,train
1000PEPEUSDT,2025-02-20 19:00:00+00:00,2025-02-21 19:00:00+00:00,16,train
1000PEPEUSDT,2025-07-10 17:00:00+00:00,2025-07-11 17:00:00+00:00,16,train
1000PEPEUSDT,2025-10-31 00:00:00+00:00,2025-11-01 00:00:00+00:00,16,train
1000PEPEUSDT,2024-05-02 00:00:00+00:00,2024-05-03 00:00:00+00:00,17,train
1000PEPEUSDT,2024-09-30 06:00:00+00:00,2024-10-01 06:00:00+00:00,17,train
1000PEPEUSDT,2025-01-18 05:00:00+00:00,2025-01-19 05:00:00+00:00,17,train
1000PEPEUSDT,2025-06-11 16:00:00+00:00,2025-06-12 16:00:00+00:00,17,train
1000PEPEUSDT,2025-10-26 04:00:00+00:00,2025-10-27 04:00:00+00:00,17,train
1000PEPEUSDT,2024-05-29 12:00:00+00:00,2024-05-30 12:00:00+00:00,18,train
1000PEPEUSDT,2024-10-17 15:00:00+00:00,2024-10-18 15:00:00+00:00,18,train
1000PEPEUSDT,2025-01-11 00:00:00+00:00,2025-01-12 00:00:00+00:00,18,train
1000PEPEUSDT,2025-05-29 13:00:00+00:00,2025-05-30 13:00:00+00:00,18,train
1000PEPEUSDT,2025-10-27 08:00:00+00:00,2025-10-28 08:00:00+00:00,18,train
ADAUSDT,2024-05-24 23:00:00+00:00,2024-05-25 23:00:00+00:00,0,train
ADAUSDT,2024-09-06 03:00:00+00:00,2024-09-07 03:00:00+00:00,0,train
ADAUSDT,2025-02-21 01:00:00+00:00,2025-02-22 01:00:00+00:00,0,train
ADAUSDT,2025-07-06 08:00:00+00:00,2025-07-07 08:00:00+00:00,0,train
ADAUSDT,2025-10-30 15:00:00+00:00,2025-10-31 15:00:00+00:00,0,train
ADAUSDT,2024-05-02 00:00:00+00:00,2024-05-03 00:00:00+00:00,1,train
ADAUSDT,2024-08-27 14:00:00+00:00,2024-08-28 14:00:00+00:00,1,train
ADAUSDT,2025-01-13 22:00:00+00:00,2025-01-14 22:00:00+00:00,1,train
ADAUSDT,2025-06-03 16:00:00+00:00,2025-06-04 16:00:00+00:00,1,train
ADAUSDT,2025-10-15 13:00:00+00:00,2025-10-16 13:00:00+00:00,1,train
ADAUSDT,2024-05-19 08:00:00+00:00,2024-05-20 08:00:00+00:00,2,train
ADAUSDT,2024-08-11 20:00:00+00:00,2024-08-12 20:00:00+00:00,2,train
ADAUSDT,2025-02-19 14:00:00+00:00,2025-02-20 14:00:00+00:00,2,train
ADAUSDT,2025-05-24 12:00:00+00:00,2025-05-25 12:00:00+00:00,2,train
ADAUSDT,2025-10-14 07:00:00+00:00,2025-10-15 07:00:00+00:00,2,train
ADAUSDT,2024-05-09 10:00:00+00:00,2024-05-10 10:00:00+00:00,3,train
ADAUSDT,2024-09-17 21:00:00+00:00,2024-09-18 21:00:00+00:00,3,train
ADAUSDT,2025-02-19 19:00:00+00:00,2025-02-20 19:00:00+00:00,3,train
ADAUSDT,2025-07-02 13:00:00+00:00,2025-07-03 13:00:00+00:00,3,train
ADAUSDT,2025-10-26 21:00:00+00:00,2025-10-27 21:00:00+00:00,3,train
ADAUSDT,2024-05-02 00:00:00+00:00,2024-05-03 00:00:00+00:00,4,train
ADAUSDT,2024-09-12 16:00:00+00:00,2024-09-13 16:00:00+00:00,4,train
ADAUSDT,2025-01-06 00:00:00+00:00,2025-01-07 00:00:00+00:00,4,train
ADAUSDT,2025-06-16 09:00:00+00:00,2025-06-17 09:00:00+00:00,4,train
ADAUSDT,2025-10-31 00:00:00+00:00,2025-11-01 00:00:00+00:00,4,train
