window_id,symbol,start_ms,label,split,pump_type,pct_chg,vol_ratio_1h,vol_ratio_4h,vol_spike_count,cvd_div_1h,price_vs_cvd,price_vs_high_7d,hour_of_day,btc_trend_1h,oi_chg_1h,oi_chg_4h,oi_oi_btc_corr,funding_last,funding_trend_3,liq_long_1h,liq_short_1h,liq_ratio,catalyst_hit_liq_sweep,catalyst_hit_macro_extreme,catalyst_hit_stablecoin_inflow,catalyst_hit_news_signal,catalyst_hit_token_unlock
p_0,1000LUNCUSDT,1721109600000,1,train,main,20.2273,2.341721831064786,1.236924245704942,1,-0.20663793831281022,0,0.9698443579766537,6,-0.012929396343780783,0.0004987691551518681,0.004106570168478134,0.04711674133252779,9.761e-05,-2.3900000000000093e-06,0.0,0.0,0.5,0,0,0,0,0
p_1,1000LUNCUSDT,1722834000000,1,train,main,15.201,3.0008781167256005,10.774346267517943,4,-0.05301803976833435,1,0.6866697739454674,5,-0.006664921534008737,-0.01978400458357916,-0.03056110175988082,0.2452570590841171,3.976e-05,-6.0240000000000006e-05,0.0,0.0,0.5,0,0,0,0,0
p_2,1000LUNCUSDT,1723266000000,1,train,main,24.6022,0.4134963300642289,0.4506455474087455,0,-0.30456076486293304,0,0.9328,5,-0.00033934779010097666,-0.012296057045540819,0.007133258343314819,0.22924573798492837,8.886e-05,8.210000000000004e-06,0.0,0.0,0.5,0,0,0,0,0
p_3,1000LUNCUSDT,1727589600000,1,train,main,19.9911,0.6478275969675975,0.8938608232368145,0,-0.03359692804068624,0,0.9326933002993703,6,-0.00234946102390233,-0.00331714189732125,0.024765161216225504,-0.03301346412800868,0.0001,0.0,0.0,0.0,0.5,0,0,0,0,0
p_4,1000LUNCUSDT,1731682800000,1,train,main,26.5335,2.199694058794772,1.478798752926152,1,-0.1523195070691607,0,0.8973359913011961,15,-0.011693365112798658,0.005034381300423494,0.020848257190046397,-0.018918704139204524,0.00011183,-6.820999999999999e-05,0.0,0.0,0.5,0,1,1,0,0
p_5,1000LUNCUSDT,1733158800000,1,train,main,28.3672,1.825417737680779,1.3671807253225865,0,-0.12189724830118595,0,0.9162847321684333,17,-0.009081781343164404,-0.009941659419082321,0.07281317518671188,-0.015215342219638703,0.00015542,-0.00043380000000000003,0.0,0.0,0.5,0,1,0,0,0
p_6,1000LUNCUSDT,1738548000000,1,train,main,32.0335,23.393065673321075,14.195206608507466,4,-0.07148677550701092,0,0.6570587513798601,2,-0.031682088558911886,-0.007941390762623287,-0.03672206253768461,0.08417196945876473,2.094e-05,1.0529999999999999e-05,0.0,0.0,0.5,0,0,0,0,0
p_7,1000LUNCUSDT,1760130000000,1,train,main,16.4197,12.189440240246775,5.567945032911221,4,-0.2798472110285737,0,0.8020543175487466,21,-0.020644859195937088,-0.1252202237374357,-0.12484544222146081,0.19557268722022353,0.0001,0.0,0.0,0.0,0.5,0,0,0,0,0
p_8,1000LUNCUSDT,1760212800000,1,train,main,17.2891,5.318492290501394,2.824596701717327,3,0.010730389971316038,1,0.6362528295316037,20,-0.00697452889537045,-0.014144631824172572,-0.04234794258411508,0.5246568158686042,-0.00101953,-0.00023517000000000004,0.0,0.0,0.5,0,0,0,0,0
p_9,1000LUNCUSDT,1761019200000,1,train,main,16.8686,0.7958000376199839,0.8609440931478287,0,-0.354178479695452,0,0.9282541092847624,4,-0.004150401107991764,0.0041859748488454465,-0.0038080565813599153,-0.013671711715010536,0.0001,0.0,0.0,0.0,0.5,0,0,0,0,0
p_10,1000LUNCUSDT,1764882000000,1,test,main,131.5501,2.862038697157008,2.4937316805308773,2,-0.2819856669650582,1,0.9825678846798525,21,0.0053316511042347265,0.014529730591602058,0.06833432172545627,-0.05060375632051112,-0.00012572,-0.00011133,0.0,0.0,0.5,0,0,0,0,0
