feature,median_pump,median_ctrl,n_pump,n_ctrl,mw_u,p_value,lift,lift_ci_lo,lift_ci_hi,note
catalyst_hit_macro_extreme,0.0,0.0,784,3920,1983520.0,0.0,6.0,6.0,6.0,significant
catalyst_hit_stablecoin_inflow,0.0,0.0,784,3920,1742440.0,0.0,6.0,6.0,6.0,significant
vol_spike_count,2.0,0.0,784,3920,2289682.0,0.0,1.959,1.8204,2.0948,significant
vol_ratio_4h,2.227094,0.996149,759,3424,2023900.0,0.0,1.6046,1.5006,1.711,significant
vol_ratio_1h,2.328713,0.898461,759,3424,2017855.0,0.0,1.599,1.4844,1.7077,significant
oi_oi_btc_corr,0.059993,0.037574,714,3239,1250461.0,0.000649,1.2242,1.1176,1.323,significant
funding_last,5e-05,5e-05,784,3920,1666424.0,0.000154,1.1363,1.0283,1.2472,significant_low_lift
hour_of_day,12.0,10.0,784,3920,1661570.5,0.000307,1.1351,1.0395,1.2278,significant_low_lift
oi_chg_4h,-0.000223,0.000188,731,3647,1304021.5,0.353213,0.9895,0.8974,1.0853,not_significant
funding_trend_3,0.0,0.0,784,3920,1503151.0,0.325466,0.9597,0.8549,1.074,not_significant
oi_chg_1h,-0.00087,-0.000121,731,3647,1236287.5,0.001935,0.9267,0.8364,1.0173,significant_low_lift
price_vs_high_7d,0.871572,0.894584,784,3920,1288619.0,0.0,0.8758,0.796,0.9639,significant_low_lift
price_vs_cvd,0.0,0.0,784,3920,1470000.0,0.01445,0.8748,0.7596,0.9898,significant_low_lift
cvd_div_1h,-0.024277,-0.006087,784,3920,1371417.0,2e-06,0.8239,0.7473,0.9101,significant_low_lift
btc_trend_1h,-0.000849,0.00071,784,3920,1150177.0,0.0,0.7122,0.6301,0.7927,significant_low_lift
liq_long_1h,0.0,0.0,784,3920,1536640.0,1.0,,,,not_significant
liq_short_1h,0.0,0.0,784,3920,1536640.0,1.0,,,,not_significant
liq_ratio,0.5,0.5,784,3920,1536640.0,1.0,,,,not_significant
catalyst_hit_liq_sweep,0.0,0.0,784,3920,1536640.0,1.0,,,,not_significant
catalyst_hit_news_signal,0.0,0.0,784,3920,1536640.0,1.0,,,,not_significant
catalyst_hit_token_unlock,0.0,0.0,784,3920,1536640.0,1.0,,,,not_significant
