pump_id,symbol,start_ts,end_ts,pct_chg,vol_mult,pump_type,split
0,1000PEPEUSDT,2024-05-13 07:00:00+00:00,2024-05-13 16:00:00+00:00,23.5152,3.1237,main,train
1,1000PEPEUSDT,2024-07-15 10:00:00+00:00,2024-07-16 04:00:00+00:00,30.9323,3.1957,main,train
2,1000PEPEUSDT,2024-08-05 12:00:00+00:00,2024-08-06 05:00:00+00:00,32.3068,3.4453,main,train
3,1000PEPEUSDT,2024-11-11 13:00:00+00:00,2024-11-12 08:00:00+00:00,22.9692,3.4881,main,train
4,1000PEPEUSDT,2024-11-13 06:00:00+00:00,2024-11-14 01:00:00+00:00,94.3963,6.9974,main,train
5,1000PEPEUSDT,2025-02-03 04:00:00+00:00,2025-02-03 22:00:00+00:00,29.4493,3.2763,main,train
6,1000PEPEUSDT,2025-05-08 11:00:00+00:00,2025-05-09 08:00:00+00:00,47.1553,4.7061,main,train
7,1000PEPEUSDT,2025-09-12 13:00:00+00:00,2025-09-13 12:00:00+00:00,18.1897,3.1483,main,train
8,1000PEPEUSDT,2026-01-01 16:00:00+00:00,2026-01-02 16:00:00+00:00,38.4138,7.3878,main,test
9,1000PEPEUSDT,2026-01-03 11:00:00+00:00,2026-01-04 11:00:00+00:00,18.776,4.7531,main,test
10,1000PEPEUSDT,2026-02-05 23:00:00+00:00,2026-02-06 22:00:00+00:00,15.3503,3.1062,main,test
11,1000PEPEUSDT,2026-02-14 06:00:00+00:00,2026-02-15 04:00:00+00:00,30.8409,3.7868,main,test
12,1000PEPEUSDT,2026-03-15 16:00:00+00:00,2026-03-16 12:00:00+00:00,22.3184,3.6204,main,test
13,1000PEPEUSDT,2024-05-13 15:00:00+00:00,2024-05-13 16:00:00+00:00,10.4526,10.6969,fast,train
14,1000PEPEUSDT,2024-05-20 18:00:00+00:00,2024-05-20 19:00:00+00:00,10.3855,4.5293,fast,train
15,1000PEPEUSDT,2024-11-13 12:00:00+00:00,2024-11-13 13:00:00+00:00,32.8022,19.8651,fast,train
16,1000PEPEUSDT,2024-11-14 00:00:00+00:00,2024-11-14 01:00:00+00:00,13.026,10.6622,fast,train
17,1000PEPEUSDT,2024-11-14 15:00:00+00:00,2024-11-14 16:00:00+00:00,10.7857,6.0156,fast,train
18,1000PEPEUSDT,2025-05-09 07:00:00+00:00,2025-05-09 08:00:00+00:00,12.2421,15.1412,fast,train
19,ADAUSDT,2024-11-07 13:00:00+00:00,2024-11-08 12:00:00+00:00,18.5215,4.8053,main,train
20,ADAUSDT,2024-11-09 14:00:00+00:00,2024-11-10 12:00:00+00:00,46.9777,10.9271,main,train
21,ADAUSDT,2024-11-13 06:00:00+00:00,2024-11-13 14:00:00+00:00,15.2178,4.2442,main,train
22,ADAUSDT,2024-11-15 10:00:00+00:00,2024-11-16 10:00:00+00:00,26.5709,7.831,main,train
23,ADAUSDT,2024-11-19 13:00:00+00:00,2024-11-20 10:00:00+00:00,15.7285,3.396,main,train
24,ADAUSDT,2024-11-22 00:00:00+00:00,2024-11-23 00:00:00+00:00,34.9329,4.4716,main,train
25,ADAUSDT,2025-02-03 02:00:00+00:00,2025-02-03 22:00:00+00:00,31.2159,3.5264,main,train
26,ADAUSDT,2025-03-02 14:00:00+00:00,2025-03-02 23:00:00+00:00,75.1545,16.2823,main,train
27,ADAUSDT,2025-03-04 13:00:00+00:00,2025-03-05 10:00:00+00:00,25.6059,7.5085,main,train
28,ADAUSDT,2025-07-10 13:00:00+00:00,2025-07-11 13:00:00+00:00,20.736,3.3472,main,train
29,ADAUSDT,2025-07-17 03:00:00+00:00,2025-07-18 03:00:00+00:00,15.4672,3.8072,main,train
30,ADAUSDT,2025-08-13 14:00:00+00:00,2025-08-14 06:00:00+00:00,17.4596,4.3001,main,train
