window_h,threshold,vol_mult,n_pump_sweep,base_rate_sweep,base_rate_train,lift_vol_spike_count,lift_vol_ratio_4h,lift_vol_ratio_1h,lift_oi_oi_btc_corr,lift_funding_last
1,0.1,2.0,654,0.00059,0.166667,1.959,1.6046,1.599,1.2242,1.1363
1,0.1,3.0,614,0.000554,0.166667,1.959,1.6046,1.599,1.2242,1.1363
1,0.1,5.0,549,0.000496,0.166667,1.959,1.6046,1.599,1.2242,1.1363
1,0.12,2.0,407,0.000367,0.166667,1.959,1.6046,1.599,1.2242,1.1363
1,0.12,3.0,391,0.000353,0.166667,1.959,1.6046,1.599,1.2242,1.1363
1,0.12,5.0,352,0.000318,0.166667,1.959,1.6046,1.599,1.2242,1.1363
1,0.15,2.0,232,0.000209,0.166667,1.959,1.6046,1.599,1.2242,1.1363
1,0.15,3.0,227,0.000205,0.166667,1.959,1.6046,1.599,1.2242,1.1363
1,0.15,5.0,212,0.000191,0.166667,1.959,1.6046,1.599,1.2242,1.1363
1,0.2,2.0,101,9.1e-05,0.166667,1.959,1.6046,1.599,1.2242,1.1363
1,0.2,3.0,100,9e-05,0.166667,1.959,1.6046,1.599,1.2242,1.1363
1,0.2,5.0,96,8.7e-05,0.166667,1.959,1.6046,1.599,1.2242,1.1363
4,0.1,2.0,5469,0.004939,0.166667,1.959,1.6046,1.599,1.2242,1.1363
4,0.1,3.0,4759,0.004298,0.166667,1.959,1.6046,1.599,1.2242,1.1363
4,0.1,5.0,3566,0.00322,0.166667,1.959,1.6046,1.599,1.2242,1.1363
4,0.12,2.0,3506,0.003166,0.166667,1.959,1.6046,1.599,1.2242,1.1363
4,0.12,3.0,3132,0.002828,0.166667,1.959,1.6046,1.599,1.2242,1.1363
4,0.12,5.0,2510,0.002267,0.166667,1.959,1.6046,1.599,1.2242,1.1363
4,0.15,2.0,1986,0.001793,0.166667,1.959,1.6046,1.599,1.2242,1.1363
4,0.15,3.0,1812,0.001636,0.166667,1.959,1.6046,1.599,1.2242,1.1363
4,0.15,5.0,1568,0.001416,0.166667,1.959,1.6046,1.599,1.2242,1.1363
4,0.2,2.0,944,0.000852,0.166667,1.959,1.6046,1.599,1.2242,1.1363
4,0.2,3.0,887,0.000801,0.166667,1.959,1.6046,1.599,1.2242,1.1363
4,0.2,5.0,794,0.000717,0.166667,1.959,1.6046,1.599,1.2242,1.1363
12,0.1,2.0,22450,0.020287,0.166667,1.959,1.6046,1.599,1.2242,1.1363
12,0.1,3.0,16145,0.014589,0.166667,1.959,1.6046,1.599,1.2242,1.1363
12,0.1,5.0,9528,0.00861,0.166667,1.959,1.6046,1.599,1.2242,1.1363
12,0.12,2.0,15582,0.01408,0.166667,1.959,1.6046,1.599,1.2242,1.1363
12,0.12,3.0,11971,0.010817,0.166667,1.959,1.6046,1.599,1.2242,1.1363
12,0.12,5.0,7636,0.0069,0.166667,1.959,1.6046,1.599,1.2242,1.1363
12,0.15,2.0,9575,0.008652,0.166667,1.959,1.6046,1.599,1.2242,1.1363
12,0.15,3.0,7912,0.00715,0.166667,1.959,1.6046,1.599,1.2242,1.1363
12,0.15,5.0,5599,0.005059,0.166667,1.959,1.6046,1.599,1.2242,1.1363
12,0.2,2.0,4880,0.00441,0.166667,1.959,1.6046,1.599,1.2242,1.1363
12,0.2,3.0,4281,0.003868,0.166667,1.959,1.6046,1.599,1.2242,1.1363
12,0.2,5.0,3400,0.003072,0.166667,1.959,1.6046,1.599,1.2242,1.1363
24,0.1,2.0,43385,0.039243,0.166667,1.959,1.6046,1.599,1.2242,1.1363
24,0.1,3.0,26778,0.024222,0.166667,1.959,1.6046,1.599,1.2242,1.1363
24,0.1,5.0,14586,0.013194,0.166667,1.959,1.6046,1.599,1.2242,1.1363
24,0.12,2.0,33179,0.030012,0.166667,1.959,1.6046,1.599,1.2242,1.1363
24,0.12,3.0,21988,0.019889,0.166667,1.959,1.6046,1.599,1.2242,1.1363
24,0.12,5.0,12787,0.011566,0.166667,1.959,1.6046,1.599,1.2242,1.1363
24,0.15,2.0,22721,0.020552,0.166667,1.959,1.6046,1.599,1.2242,1.1363
24,0.15,3.0,16566,0.014985,0.166667,1.959,1.6046,1.599,1.2242,1.1363
24,0.15,5.0,10533,0.009527,0.166667,1.959,1.6046,1.599,1.2242,1.1363
24,0.2,2.0,12629,0.011423,0.166667,1.959,1.6046,1.599,1.2242,1.1363
24,0.2,3.0,10222,0.009246,0.166667,1.959,1.6046,1.599,1.2242,1.1363
24,0.2,5.0,7298,0.006601,0.166667,1.959,1.6046,1.599,1.2242,1.1363
