period_start,period_end,threshold,n_train,n_test,tp,fp,fn,precision,recall,lift
2024-10-29,2024-11-28,1.0,522,58,23,0,13,1.0,0.6389,9.6667
2024-11-28,2024-12-28,1.0,580,19,8,0,11,1.0,0.4211,6.4444
2024-12-28,2025-01-27,1.0,599,117,8,12,7,0.4,0.5333,2.1982
2025-01-27,2025-02-26,1.0,716,155,19,26,0,0.4222,1.0,2.438
2025-02-26,2025-03-28,1.0,871,33,3,5,12,0.375,0.2,2.2841
2025-03-28,2025-04-27,1.0,904,30,15,2,4,0.8824,0.7895,5.0484
2025-04-27,2025-05-27,1.0,934,35,6,2,8,0.75,0.4286,3.9576
2025-05-27,2025-06-26,1.0,969,133,2,21,3,0.087,0.4,0.4412
2025-06-26,2025-07-26,1.0,1102,118,5,17,7,0.2273,0.4167,1.2778
2025-07-26,2025-08-25,1.0,1220,61,1,2,11,0.3333,0.0833,1.9551
2025-08-25,2025-09-24,1.0,1281,61,6,4,14,0.6,0.3,3.4936
2025-09-24,2025-10-24,1.0,1342,168,29,18,11,0.617,0.725,3.4502
2025-10-24,2025-11-23,1.0,1510,578,33,59,15,0.3587,0.6875,1.9344
2025-11-23,2025-12-23,1.0,2088,253,12,23,13,0.3429,0.48,2.1826
2025-12-23,2026-01-22,1.0,2341,216,16,18,14,0.4706,0.5333,3.1208
2026-01-22,2026-02-21,1.0,2557,299,19,32,10,0.3725,0.6552,2.4872
2026-02-21,2026-03-23,1.0,2856,266,3,43,28,0.0652,0.0968,0.4521
2026-03-23,2026-04-22,1.0,3122,369,34,18,25,0.6538,0.5763,4.6079
2026-04-22,2026-05-22,1.0,3491,366,104,28,36,0.7879,0.7429,5.4791
